Site ID,Customer ID,Site,City,Province,Province Name,Region,Latitude,Longitude
SITE-0036,CUST-003,Juniper Hamilton #25,Hamilton,ON,Ontario,Ontario,43.2557,-79.8711
SITE-0037,CUST-003,Juniper Toronto #26,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0038,CUST-003,Juniper Vancouver #27,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0039,CUST-003,Juniper Montreal #28,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0040,CUST-003,Juniper London #29,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0041,CUST-003,Juniper Kingston #30,Kingston,ON,Ontario,Ontario,44.2312,-76.486
SITE-0042,CUST-004,Heritage Montreal #1,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0043,CUST-004,Heritage Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0044,CUST-004,Heritage London #3,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0045,CUST-004,Heritage Surrey #4,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0046,CUST-005,Bluewater Calgary #1,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0047,CUST-005,Bluewater Calgary #2,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0048,CUST-005,Bluewater Kitchener #3,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0049,CUST-005,Bluewater Gatineau #4,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0050,CUST-005,Bluewater Montreal #5,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0051,CUST-005,Bluewater Quebec City #6,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0052,CUST-006,Northshore Quebec City #1,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0053,CUST-006,Northshore Red Deer #2,Red Deer,AB,Alberta,West,52.2681,-113.8112
SITE-0054,CUST-006,Northshore Toronto #3,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0055,CUST-006,Northshore Calgary #4,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0056,CUST-006,Northshore Calgary #5,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0057,CUST-006,Northshore Toronto #6,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0058,CUST-006,Northshore Hamilton #7,Hamilton,ON,Ontario,Ontario,43.2557,-79.8711
SITE-0059,CUST-007,Ashford Kingston #1,Kingston,ON,Ontario,Ontario,44.2312,-76.486
SITE-0060,CUST-007,Ashford Saskatoon #2,Saskatoon,SK,Saskatchewan,Prairies,52.1332,-106.67
SITE-0061,CUST-007,Ashford Calgary #3,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0062,CUST-007,Ashford Regina #4,Regina,SK,Saskatchewan,Prairies,50.4452,-104.6189
SITE-0063,CUST-007,Ashford Regina #5,Regina,SK,Saskatchewan,Prairies,50.4452,-104.6189
SITE-0064,CUST-008,Maple Surrey #1,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0065,CUST-008,Maple Ottawa #2,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0066,CUST-008,Maple Ottawa #3,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0067,CUST-008,Maple Calgary #4,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0068,CUST-008,Maple Surrey #5,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0069,CUST-008,Maple Toronto #6,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0070,CUST-008,Maple Vancouver #7,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0071,CUST-008,Maple Calgary #8,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0072,CUST-008,Maple Toronto #9,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0073,CUST-008,Maple Kelowna #10,Kelowna,BC,British Columbia,West,49.888,-119.496
SITE-0074,CUST-008,Maple Saskatoon #11,Saskatoon,SK,Saskatchewan,Prairies,52.1332,-106.67
SITE-0075,CUST-008,Maple Charlottetown #12,Charlottetown,PE,Prince Edward Island,Atlantic,46.2382,-63.1311
SITE-0076,CUST-008,Maple Victoria #13,Victoria,BC,British Columbia,West,48.4284,-123.3656
SITE-0077,CUST-009,Dominion Quebec City #1,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0078,CUST-009,Dominion Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0079,CUST-009,Dominion Gatineau #3,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0080,CUST-009,Dominion Laval #4,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0081,CUST-009,Dominion Vancouver #5,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0082,CUST-009,Dominion Quebec City #6,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0083,CUST-009,Dominion Montreal #7,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0084,CUST-010,Lighthouse Moncton #1,Moncton,NB,New Brunswick,Atlantic,46.0878,-64.7782
SITE-0085,CUST-010,Lighthouse Halifax #2,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0086,CUST-010,Lighthouse Saskatoon #3,Saskatoon,SK,Saskatchewan,Prairies,52.1332,-106.67
SITE-0087,CUST-010,Lighthouse Halifax #4,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0088,CUST-010,Lighthouse Quebec City #5,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0089,CUST-010,Lighthouse Laval #6,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0090,CUST-010,Lighthouse Toronto #7,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0091,CUST-010,Lighthouse Halifax #8,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0092,CUST-011,Prairie Montreal #1,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0093,CUST-011,Prairie Calgary #2,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0094,CUST-011,Prairie Montreal #3,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0095,CUST-011,Prairie Montreal #4,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0096,CUST-011,Prairie Edmonton #5,Edmonton,AB,Alberta,West,53.5461,-113.4938
SITE-0097,CUST-011,Prairie Ottawa #6,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0098,CUST-011,Prairie Montreal #7,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0099,CUST-011,Prairie Gatineau #8,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0100,CUST-011,Prairie Quebec City #9,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0101,CUST-011,Prairie Montreal #10,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0102,CUST-012,Pioneer Toronto #1,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0103,CUST-012,Pioneer Toronto #2,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0104,CUST-012,Pioneer Ottawa #3,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0105,CUST-012,Pioneer Kitchener #4,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0106,CUST-012,Pioneer Winnipeg #5,Winnipeg,MB,Manitoba,Prairies,49.8951,-97.1384
SITE-0107,CUST-012,Pioneer Kelowna #6,Kelowna,BC,British Columbia,West,49.888,-119.496
SITE-0108,CUST-012,Pioneer Toronto #7,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0109,CUST-012,Pioneer Toronto #8,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0110,CUST-012,Pioneer St. John's #9,St. John's,NL,Newfoundland and Labrador,Atlantic,47.5615,-52.7126
SITE-0111,CUST-012,Pioneer Kingston #10,Kingston,ON,Ontario,Ontario,44.2312,-76.486
SITE-0112,CUST-013,Nordic Surrey #1,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0113,CUST-013,Nordic Toronto #2,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0114,CUST-013,Nordic Kelowna #3,Kelowna,BC,British Columbia,West,49.888,-119.496
SITE-0115,CUST-013,Nordic Kitchener #4,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0116,CUST-013,Nordic Vancouver #5,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0117,CUST-013,Nordic Montreal #6,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0118,CUST-013,Nordic Halifax #7,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0119,CUST-013,Nordic Kelowna #8,Kelowna,BC,British Columbia,West,49.888,-119.496
SITE-0120,CUST-013,Nordic Vancouver #9,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0121,CUST-013,Nordic Vancouver #10,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0122,CUST-014,Riverbend Ottawa #1,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0123,CUST-014,Riverbend Mississauga #2,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0124,CUST-014,Riverbend Windsor #3,Windsor,ON,Ontario,Ontario,42.3149,-83.0364
SITE-0125,CUST-014,Riverbend St. John's #4,St. John's,NL,Newfoundland and Labrador,Atlantic,47.5615,-52.7126
SITE-0126,CUST-014,Riverbend Sudbury #5,Sudbury,ON,Ontario,Ontario,46.4917,-80.993
SITE-0127,CUST-014,Riverbend London #6,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0128,CUST-014,Riverbend Toronto #7,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0129,CUST-014,Riverbend Toronto #8,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0130,CUST-014,Riverbend Mississauga #9,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0131,CUST-014,Riverbend Mississauga #10,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0132,CUST-014,Riverbend Toronto #11,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0133,CUST-014,Riverbend Mississauga #12,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0134,CUST-014,Riverbend Mississauga #13,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0135,CUST-014,Riverbend Ottawa #14,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0136,CUST-014,Riverbend Moncton #15,Moncton,NB,New Brunswick,Atlantic,46.0878,-64.7782
SITE-0137,CUST-014,Riverbend Ottawa #16,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0138,CUST-014,Riverbend Toronto #17,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0139,CUST-014,Riverbend Red Deer #18,Red Deer,AB,Alberta,West,52.2681,-113.8112
SITE-0140,CUST-015,Aurora Montreal #1,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0141,CUST-015,Aurora Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0142,CUST-015,Aurora Gatineau #3,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0143,CUST-015,Aurora Quebec City #4,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0144,CUST-015,Aurora Montreal #5,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0145,CUST-015,Aurora Montreal #6,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0146,CUST-015,Aurora Winnipeg #7,Winnipeg,MB,Manitoba,Prairies,49.8951,-97.1384
SITE-0147,CUST-015,Aurora Montreal #8,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0148,CUST-015,Aurora Montreal #9,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0149,CUST-015,Aurora Toronto #10,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0150,CUST-015,Aurora Montreal #11,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0151,CUST-015,Aurora Ottawa #12,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0152,CUST-015,Aurora Kitchener #13,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0153,CUST-015,Aurora Gatineau #14,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0154,CUST-015,Aurora Montreal #15,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0155,CUST-015,Aurora Vancouver #16,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0156,CUST-015,Aurora Halifax #17,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0157,CUST-015,Aurora Montreal #18,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0158,CUST-015,Aurora Mississauga #19,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0159,CUST-015,Aurora Gatineau #20,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0160,CUST-015,Aurora Laval #21,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0161,CUST-015,Aurora Gatineau #22,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0162,CUST-016,Redwood Halifax #1,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0163,CUST-016,Redwood Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0164,CUST-016,Redwood Montreal #3,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0165,CUST-016,Redwood Montreal #4,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0166,CUST-016,Redwood Hamilton #5,Hamilton,ON,Ontario,Ontario,43.2557,-79.8711
SITE-0167,CUST-016,Redwood St. John's #6,St. John's,NL,Newfoundland and Labrador,Atlantic,47.5615,-52.7126
SITE-0168,CUST-016,Redwood Vancouver #7,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0169,CUST-016,Redwood Montreal #8,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0170,CUST-016,Redwood Halifax #9,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0171,CUST-016,Redwood Fredericton #10,Fredericton,NB,New Brunswick,Atlantic,45.9636,-66.6431
SITE-0172,CUST-017,Coastal Halifax #1,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0173,CUST-017,Coastal Halifax #2,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0174,CUST-017,Coastal Kitchener #3,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0175,CUST-017,Coastal Calgary #4,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0176,CUST-017,Coastal Toronto #5,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0177,CUST-017,Coastal Halifax #6,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0178,CUST-017,Coastal Sudbury #7,Sudbury,ON,Ontario,Ontario,46.4917,-80.993
SITE-0179,CUST-017,Coastal Halifax #8,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0180,CUST-017,Coastal Red Deer #9,Red Deer,AB,Alberta,West,52.2681,-113.8112
SITE-0181,CUST-017,Coastal Halifax #10,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0182,CUST-017,Coastal Halifax #11,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0183,CUST-018,Granite St. John's #1,St. John's,NL,Newfoundland and Labrador,Atlantic,47.5615,-52.7126
SITE-0184,CUST-018,Granite Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0185,CUST-018,Granite Laval #3,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0186,CUST-018,Granite Montreal #4,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0187,CUST-018,Granite Montreal #5,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0188,CUST-018,Granite Montreal #6,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0189,CUST-018,Granite Montreal #7,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0190,CUST-018,Granite Montreal #8,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0191,CUST-018,Granite Montreal #9,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0192,CUST-018,Granite Gatineau #10,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0193,CUST-018,Granite Montreal #11,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0194,CUST-018,Granite Quebec City #12,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0195,CUST-018,Granite Quebec City #13,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0196,CUST-018,Granite Quebec City #14,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0197,CUST-018,Granite Vancouver #15,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0198,CUST-018,Granite Gatineau #16,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0199,CUST-018,Granite Quebec City #17,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0200,CUST-019,Stonebridge Toronto #1,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0201,CUST-019,Stonebridge Sudbury #2,Sudbury,ON,Ontario,Ontario,46.4917,-80.993
SITE-0202,CUST-019,Stonebridge Halifax #3,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0203,CUST-019,Stonebridge Surrey #4,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0204,CUST-019,Stonebridge Surrey #5,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0205,CUST-019,Stonebridge Surrey #6,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0206,CUST-019,Stonebridge Montreal #7,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0207,CUST-019,Stonebridge Mississauga #8,Mississauga,ON,Ontario,Ontario,43.589,-79.6441
SITE-0208,CUST-019,Stonebridge St. John's #9,St. John's,NL,Newfoundland and Labrador,Atlantic,47.5615,-52.7126
SITE-0209,CUST-019,Stonebridge Montreal #10,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0210,CUST-019,Stonebridge London #11,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0211,CUST-019,Stonebridge Vancouver #12,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0212,CUST-019,Stonebridge Laval #13,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0213,CUST-020,Orchard Montreal #1,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0214,CUST-020,Orchard Regina #2,Regina,SK,Saskatchewan,Prairies,50.4452,-104.6189
SITE-0215,CUST-020,Orchard Quebec City #3,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0216,CUST-020,Orchard Ottawa #4,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0217,CUST-020,Orchard Vancouver #5,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0218,CUST-021,Keystone Calgary #1,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0219,CUST-021,Keystone Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0220,CUST-021,Keystone Montreal #3,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0221,CUST-021,Keystone Gatineau #4,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0222,CUST-021,Keystone Quebec City #5,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0223,CUST-021,Keystone Laval #6,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0224,CUST-021,Keystone Gatineau #7,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0225,CUST-021,Keystone Sherbrooke #8,Sherbrooke,QC,Quebec,Quebec,45.4042,-71.8929
SITE-0226,CUST-021,Keystone Laval #9,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0227,CUST-021,Keystone Sherbrooke #10,Sherbrooke,QC,Quebec,Quebec,45.4042,-71.8929
SITE-0228,CUST-021,Keystone Montreal #11,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0229,CUST-021,Keystone Calgary #12,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0230,CUST-021,Keystone Montreal #13,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0231,CUST-021,Keystone Montreal #14,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0232,CUST-021,Keystone Gatineau #15,Gatineau,QC,Quebec,Quebec,45.4765,-75.7013
SITE-0233,CUST-021,Keystone Montreal #16,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0234,CUST-022,Ironwood Calgary #1,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0235,CUST-022,Ironwood Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0236,CUST-022,Ironwood Halifax #3,Halifax,NS,Nova Scotia,Atlantic,44.6488,-63.5752
SITE-0237,CUST-022,Ironwood Kelowna #4,Kelowna,BC,British Columbia,West,49.888,-119.496
SITE-0238,CUST-022,Ironwood Toronto #5,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0239,CUST-023,Silverline Toronto #1,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0240,CUST-023,Silverline Toronto #2,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0241,CUST-023,Silverline Ottawa #3,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0242,CUST-023,Silverline Kingston #4,Kingston,ON,Ontario,Ontario,44.2312,-76.486
SITE-0243,CUST-023,Silverline Ottawa #5,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0244,CUST-024,Cascadia Kitchener #1,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0245,CUST-024,Cascadia Surrey #2,Surrey,BC,British Columbia,West,49.1913,-122.849
SITE-0246,CUST-024,Cascadia Toronto #3,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0247,CUST-024,Cascadia Red Deer #4,Red Deer,AB,Alberta,West,52.2681,-113.8112
SITE-0248,CUST-024,Cascadia Calgary #5,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0249,CUST-024,Cascadia London #6,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0250,CUST-024,Cascadia Toronto #7,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0251,CUST-024,Cascadia Calgary #8,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0252,CUST-024,Cascadia Vancouver #9,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0253,CUST-024,Cascadia Montreal #10,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0254,CUST-024,Cascadia Calgary #11,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0255,CUST-024,Cascadia Calgary #12,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0256,CUST-024,Cascadia Calgary #13,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0257,CUST-024,Cascadia Montreal #14,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0258,CUST-024,Cascadia Calgary #15,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0259,CUST-025,Cedar Calgary #1,Calgary,AB,Alberta,West,51.0447,-114.0719
