Service ID,Site ID,Customer ID,Service Type,Bandwidth Mbps,Assignment Group
SVC-00138,SITE-0074,CUST-008,Business Voice (SIP),,Voice Ops
SVC-00139,SITE-0074,CUST-008,Dedicated Internet,2000,Field - Prairies
SVC-00140,SITE-0074,CUST-008,SD-WAN,100,Field - Prairies
SVC-00141,SITE-0075,CUST-008,MPLS WAN,500,Field - Atlantic
SVC-00142,SITE-0076,CUST-008,Managed Security,,Security Ops
SVC-00143,SITE-0076,CUST-008,Dedicated Internet,100,Field - West
SVC-00144,SITE-0077,CUST-009,Dedicated Internet,50,Field - Quebec
SVC-00145,SITE-0077,CUST-009,Business Voice (SIP),,Voice Ops
SVC-00146,SITE-0077,CUST-009,Managed Security,,Security Ops
SVC-00147,SITE-0078,CUST-009,Managed Cloud,,Cloud Ops
SVC-00148,SITE-0078,CUST-009,Dedicated Internet,10000,Field - Quebec
SVC-00149,SITE-0078,CUST-009,Business Voice (SIP),,Voice Ops
SVC-00150,SITE-0079,CUST-009,SD-WAN,200,Field - Quebec
SVC-00151,SITE-0080,CUST-009,Managed Security,,Security Ops
SVC-00152,SITE-0081,CUST-009,Business Voice (SIP),,Voice Ops
SVC-00153,SITE-0082,CUST-009,MPLS WAN,100,Field - Quebec
SVC-00154,SITE-0082,CUST-009,SD-WAN,50,Field - Quebec
SVC-00155,SITE-0082,CUST-009,Business Voice (SIP),,Voice Ops
SVC-00156,SITE-0083,CUST-009,Business Voice (SIP),,Voice Ops
SVC-00157,SITE-0084,CUST-010,Managed Cloud,,Cloud Ops
SVC-00158,SITE-0084,CUST-010,SD-WAN,500,Field - Atlantic
SVC-00159,SITE-0084,CUST-010,Business Voice (SIP),,Voice Ops
SVC-00160,SITE-0084,CUST-010,Dedicated Internet,50,Field - Atlantic
SVC-00161,SITE-0085,CUST-010,Managed Security,,Security Ops
SVC-00162,SITE-0085,CUST-010,Dedicated Internet,50,Field - Atlantic
SVC-00163,SITE-0086,CUST-010,SD-WAN,500,Field - Prairies
SVC-00164,SITE-0087,CUST-010,Dedicated Internet,500,Field - Atlantic
SVC-00165,SITE-0088,CUST-010,Business Voice (SIP),,Voice Ops
SVC-00166,SITE-0088,CUST-010,SD-WAN,10000,Field - Quebec
SVC-00167,SITE-0088,CUST-010,MPLS WAN,200,Field - Quebec
SVC-00168,SITE-0089,CUST-010,MPLS WAN,10000,Field - Quebec
SVC-00169,SITE-0090,CUST-010,Managed Security,,Security Ops
SVC-00170,SITE-0090,CUST-010,Managed Cloud,,Cloud Ops
SVC-00171,SITE-0090,CUST-010,MPLS WAN,50,Field - Ontario
SVC-00172,SITE-0091,CUST-010,Business Voice (SIP),,Voice Ops
SVC-00173,SITE-0091,CUST-010,Dedicated Internet,2000,Field - Atlantic
SVC-00174,SITE-0091,CUST-010,MPLS WAN,100,Field - Atlantic
SVC-00175,SITE-0091,CUST-010,SD-WAN,10000,Field - Atlantic
SVC-00176,SITE-0092,CUST-011,Managed Security,,Security Ops
SVC-00177,SITE-0092,CUST-011,Dedicated Internet,50,Field - Quebec
SVC-00178,SITE-0093,CUST-011,Dedicated Internet,1000,Field - West
SVC-00179,SITE-0093,CUST-011,SD-WAN,500,Field - West
SVC-00180,SITE-0094,CUST-011,SD-WAN,500,Field - Quebec
SVC-00181,SITE-0094,CUST-011,Dedicated Internet,500,Field - Quebec
SVC-00182,SITE-0095,CUST-011,SD-WAN,50,Field - Quebec
SVC-00183,SITE-0096,CUST-011,Managed Cloud,,Cloud Ops
SVC-00184,SITE-0097,CUST-011,Dedicated Internet,500,Field - Ontario
SVC-00185,SITE-0098,CUST-011,Business Voice (SIP),,Voice Ops
SVC-00186,SITE-0098,CUST-011,Managed Security,,Security Ops
SVC-00187,SITE-0099,CUST-011,Business Voice (SIP),,Voice Ops
SVC-00188,SITE-0099,CUST-011,Dedicated Internet,2000,Field - Quebec
SVC-00189,SITE-0099,CUST-011,MPLS WAN,1000,Field - Quebec
SVC-00190,SITE-0100,CUST-011,SD-WAN,10000,Field - Quebec
SVC-00191,SITE-0101,CUST-011,MPLS WAN,500,Field - Quebec
SVC-00192,SITE-0101,CUST-011,Dedicated Internet,1000,Field - Quebec
SVC-00193,SITE-0102,CUST-012,SD-WAN,1000,Field - Ontario
SVC-00194,SITE-0102,CUST-012,Dedicated Internet,200,Field - Ontario
SVC-00195,SITE-0103,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00196,SITE-0103,CUST-012,Managed Cloud,,Cloud Ops
SVC-00197,SITE-0104,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00198,SITE-0104,CUST-012,Managed Cloud,,Cloud Ops
SVC-00199,SITE-0105,CUST-012,SD-WAN,2000,Field - Ontario
SVC-00200,SITE-0105,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00201,SITE-0106,CUST-012,Dedicated Internet,50,Field - Prairies
SVC-00202,SITE-0107,CUST-012,SD-WAN,50,Field - West
SVC-00203,SITE-0107,CUST-012,Managed Security,,Security Ops
SVC-00204,SITE-0108,CUST-012,Dedicated Internet,100,Field - Ontario
SVC-00205,SITE-0108,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00206,SITE-0109,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00207,SITE-0109,CUST-012,Dedicated Internet,100,Field - Ontario
SVC-00208,SITE-0109,CUST-012,SD-WAN,200,Field - Ontario
SVC-00209,SITE-0110,CUST-012,SD-WAN,1000,Field - Atlantic
SVC-00210,SITE-0110,CUST-012,Business Voice (SIP),,Voice Ops
SVC-00211,SITE-0111,CUST-012,Dedicated Internet,10000,Field - Ontario
SVC-00212,SITE-0111,CUST-012,SD-WAN,10000,Field - Ontario
SVC-00213,SITE-0112,CUST-013,Dedicated Internet,500,Field - West
SVC-00214,SITE-0112,CUST-013,Managed Cloud,,Cloud Ops
SVC-00215,SITE-0113,CUST-013,Managed Cloud,,Cloud Ops
SVC-00216,SITE-0114,CUST-013,MPLS WAN,500,Field - West
SVC-00217,SITE-0115,CUST-013,SD-WAN,1000,Field - Ontario
SVC-00218,SITE-0115,CUST-013,Dedicated Internet,100,Field - Ontario
SVC-00219,SITE-0115,CUST-013,Managed Security,,Security Ops
SVC-00220,SITE-0115,CUST-013,Business Voice (SIP),,Voice Ops
SVC-00221,SITE-0116,CUST-013,SD-WAN,200,Field - West
SVC-00222,SITE-0116,CUST-013,Managed Security,,Security Ops
SVC-00223,SITE-0116,CUST-013,Business Voice (SIP),,Voice Ops
SVC-00224,SITE-0117,CUST-013,Managed Cloud,,Cloud Ops
SVC-00225,SITE-0118,CUST-013,SD-WAN,200,Field - Atlantic
SVC-00226,SITE-0119,CUST-013,Managed Security,,Security Ops
SVC-00227,SITE-0119,CUST-013,SD-WAN,50,Field - West
SVC-00228,SITE-0120,CUST-013,MPLS WAN,500,Field - West
SVC-00229,SITE-0121,CUST-013,Dedicated Internet,200,Field - West
SVC-00230,SITE-0121,CUST-013,Managed Security,,Security Ops
SVC-00231,SITE-0122,CUST-014,Managed Security,,Security Ops
SVC-00232,SITE-0122,CUST-014,Dedicated Internet,500,Field - Ontario
SVC-00233,SITE-0122,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00234,SITE-0122,CUST-014,SD-WAN,100,Field - Ontario
SVC-00235,SITE-0123,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00236,SITE-0123,CUST-014,SD-WAN,10000,Field - Ontario
SVC-00237,SITE-0124,CUST-014,Managed Cloud,,Cloud Ops
SVC-00238,SITE-0124,CUST-014,SD-WAN,500,Field - Ontario
SVC-00239,SITE-0125,CUST-014,SD-WAN,2000,Field - Atlantic
SVC-00240,SITE-0126,CUST-014,Dedicated Internet,200,Field - Ontario
SVC-00241,SITE-0127,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00242,SITE-0127,CUST-014,Dedicated Internet,1000,Field - Ontario
SVC-00243,SITE-0128,CUST-014,Dedicated Internet,500,Field - Ontario
SVC-00244,SITE-0128,CUST-014,Managed Cloud,,Cloud Ops
SVC-00245,SITE-0129,CUST-014,Dedicated Internet,500,Field - Ontario
SVC-00246,SITE-0129,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00247,SITE-0129,CUST-014,Managed Cloud,,Cloud Ops
SVC-00248,SITE-0130,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00249,SITE-0131,CUST-014,Dedicated Internet,200,Field - Ontario
SVC-00250,SITE-0131,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00251,SITE-0131,CUST-014,SD-WAN,10000,Field - Ontario
SVC-00252,SITE-0132,CUST-014,Managed Security,,Security Ops
SVC-00253,SITE-0132,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00254,SITE-0132,CUST-014,Dedicated Internet,2000,Field - Ontario
SVC-00255,SITE-0132,CUST-014,SD-WAN,200,Field - Ontario
SVC-00256,SITE-0133,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00257,SITE-0134,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00258,SITE-0134,CUST-014,SD-WAN,2000,Field - Ontario
SVC-00259,SITE-0134,CUST-014,Managed Cloud,,Cloud Ops
SVC-00260,SITE-0135,CUST-014,MPLS WAN,10000,Field - Ontario
SVC-00261,SITE-0135,CUST-014,Managed Cloud,,Cloud Ops
SVC-00262,SITE-0135,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00263,SITE-0135,CUST-014,SD-WAN,10000,Field - Ontario
SVC-00264,SITE-0136,CUST-014,SD-WAN,500,Field - Atlantic
SVC-00265,SITE-0137,CUST-014,SD-WAN,200,Field - Ontario
SVC-00266,SITE-0137,CUST-014,Dedicated Internet,2000,Field - Ontario
SVC-00267,SITE-0137,CUST-014,MPLS WAN,500,Field - Ontario
SVC-00268,SITE-0137,CUST-014,Business Voice (SIP),,Voice Ops
SVC-00269,SITE-0138,CUST-014,Dedicated Internet,2000,Field - Ontario
SVC-00270,SITE-0138,CUST-014,SD-WAN,50,Field - Ontario
SVC-00271,SITE-0138,CUST-014,MPLS WAN,10000,Field - Ontario
SVC-00272,SITE-0139,CUST-014,SD-WAN,1000,Field - West
SVC-00273,SITE-0139,CUST-014,MPLS WAN,200,Field - West
SVC-00274,SITE-0139,CUST-014,Managed Security,,Security Ops
SVC-00275,SITE-0140,CUST-015,SD-WAN,500,Field - Quebec
SVC-00276,SITE-0141,CUST-015,SD-WAN,10000,Field - Quebec
SVC-00277,SITE-0142,CUST-015,Dedicated Internet,1000,Field - Quebec
SVC-00278,SITE-0143,CUST-015,SD-WAN,1000,Field - Quebec
SVC-00279,SITE-0143,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00280,SITE-0144,CUST-015,Dedicated Internet,200,Field - Quebec
SVC-00281,SITE-0144,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00282,SITE-0145,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00283,SITE-0145,CUST-015,SD-WAN,1000,Field - Quebec
SVC-00284,SITE-0146,CUST-015,Dedicated Internet,1000,Field - Prairies
SVC-00285,SITE-0146,CUST-015,SD-WAN,100,Field - Prairies
SVC-00286,SITE-0146,CUST-015,Managed Cloud,,Cloud Ops
SVC-00287,SITE-0147,CUST-015,Managed Security,,Security Ops
SVC-00288,SITE-0148,CUST-015,SD-WAN,10000,Field - Quebec
SVC-00289,SITE-0148,CUST-015,Dedicated Internet,100,Field - Quebec
SVC-00290,SITE-0148,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00291,SITE-0148,CUST-015,Managed Cloud,,Cloud Ops
SVC-00292,SITE-0149,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00293,SITE-0150,CUST-015,Dedicated Internet,100,Field - Quebec
SVC-00294,SITE-0151,CUST-015,SD-WAN,500,Field - Ontario
SVC-00295,SITE-0151,CUST-015,Dedicated Internet,200,Field - Ontario
SVC-00296,SITE-0151,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00297,SITE-0151,CUST-015,Managed Security,,Security Ops
SVC-00298,SITE-0152,CUST-015,Managed Cloud,,Cloud Ops
SVC-00299,SITE-0152,CUST-015,Dedicated Internet,1000,Field - Ontario
SVC-00300,SITE-0153,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00301,SITE-0153,CUST-015,Managed Security,,Security Ops
SVC-00302,SITE-0154,CUST-015,Dedicated Internet,100,Field - Quebec
SVC-00303,SITE-0154,CUST-015,SD-WAN,2000,Field - Quebec
SVC-00304,SITE-0155,CUST-015,Managed Security,,Security Ops
SVC-00305,SITE-0155,CUST-015,SD-WAN,1000,Field - West
SVC-00306,SITE-0155,CUST-015,Managed Cloud,,Cloud Ops
SVC-00307,SITE-0156,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00308,SITE-0156,CUST-015,Dedicated Internet,100,Field - Atlantic
SVC-00309,SITE-0156,CUST-015,SD-WAN,10000,Field - Atlantic
SVC-00310,SITE-0157,CUST-015,SD-WAN,10000,Field - Quebec
SVC-00311,SITE-0158,CUST-015,SD-WAN,500,Field - Ontario
SVC-00312,SITE-0159,CUST-015,Managed Cloud,,Cloud Ops
SVC-00313,SITE-0160,CUST-015,Dedicated Internet,2000,Field - Quebec
SVC-00314,SITE-0161,CUST-015,Business Voice (SIP),,Voice Ops
SVC-00315,SITE-0161,CUST-015,SD-WAN,2000,Field - Quebec
SVC-00316,SITE-0161,CUST-015,Dedicated Internet,2000,Field - Quebec
SVC-00317,SITE-0162,CUST-016,Dedicated Internet,500,Field - Atlantic
SVC-00318,SITE-0162,CUST-016,SD-WAN,500,Field - Atlantic
SVC-00319,SITE-0163,CUST-016,SD-WAN,100,Field - Quebec
SVC-00320,SITE-0164,CUST-016,SD-WAN,1000,Field - Quebec
SVC-00321,SITE-0165,CUST-016,Managed Security,,Security Ops
SVC-00322,SITE-0165,CUST-016,Dedicated Internet,1000,Field - Quebec
SVC-00323,SITE-0166,CUST-016,Managed Cloud,,Cloud Ops
SVC-00324,SITE-0167,CUST-016,Managed Cloud,,Cloud Ops
SVC-00325,SITE-0167,CUST-016,Business Voice (SIP),,Voice Ops
SVC-00326,SITE-0167,CUST-016,Dedicated Internet,200,Field - Atlantic
SVC-00327,SITE-0168,CUST-016,Managed Security,,Security Ops
SVC-00328,SITE-0169,CUST-016,MPLS WAN,50,Field - Quebec
SVC-00329,SITE-0170,CUST-016,Dedicated Internet,1000,Field - Atlantic
SVC-00330,SITE-0170,CUST-016,Managed Cloud,,Cloud Ops
SVC-00331,SITE-0171,CUST-016,Dedicated Internet,10000,Field - Atlantic
SVC-00332,SITE-0171,CUST-016,Business Voice (SIP),,Voice Ops
SVC-00333,SITE-0171,CUST-016,SD-WAN,1000,Field - Atlantic
SVC-00334,SITE-0171,CUST-016,Managed Cloud,,Cloud Ops
SVC-00335,SITE-0172,CUST-017,SD-WAN,2000,Field - Atlantic
SVC-00336,SITE-0172,CUST-017,Dedicated Internet,500,Field - Atlantic
SVC-00337,SITE-0172,CUST-017,MPLS WAN,100,Field - Atlantic
SVC-00338,SITE-0173,CUST-017,SD-WAN,10000,Field - Atlantic
SVC-00339,SITE-0173,CUST-017,Managed Security,,Security Ops
SVC-00340,SITE-0173,CUST-017,Dedicated Internet,10000,Field - Atlantic
SVC-00341,SITE-0173,CUST-017,Managed Cloud,,Cloud Ops
SVC-00342,SITE-0174,CUST-017,Dedicated Internet,100,Field - Ontario
SVC-00343,SITE-0175,CUST-017,Managed Cloud,,Cloud Ops
SVC-00344,SITE-0175,CUST-017,Dedicated Internet,100,Field - West
SVC-00345,SITE-0175,CUST-017,Business Voice (SIP),,Voice Ops
SVC-00346,SITE-0176,CUST-017,MPLS WAN,500,Field - Ontario
SVC-00347,SITE-0176,CUST-017,Dedicated Internet,100,Field - Ontario
SVC-00348,SITE-0177,CUST-017,SD-WAN,500,Field - Atlantic
SVC-00349,SITE-0178,CUST-017,Managed Security,,Security Ops
SVC-00350,SITE-0178,CUST-017,Business Voice (SIP),,Voice Ops
SVC-00351,SITE-0179,CUST-017,Business Voice (SIP),,Voice Ops
SVC-00352,SITE-0180,CUST-017,MPLS WAN,1000,Field - West
SVC-00353,SITE-0180,CUST-017,Dedicated Internet,100,Field - West
SVC-00354,SITE-0181,CUST-017,Dedicated Internet,2000,Field - Atlantic
SVC-00355,SITE-0181,CUST-017,Business Voice (SIP),,Voice Ops
SVC-00356,SITE-0182,CUST-017,Business Voice (SIP),,Voice Ops
SVC-00357,SITE-0183,CUST-018,Dedicated Internet,500,Field - Atlantic
SVC-00358,SITE-0183,CUST-018,SD-WAN,500,Field - Atlantic
SVC-00359,SITE-0184,CUST-018,Managed Security,,Security Ops
SVC-00360,SITE-0184,CUST-018,Managed Cloud,,Cloud Ops
SVC-00361,SITE-0185,CUST-018,MPLS WAN,50,Field - Quebec
SVC-00362,SITE-0186,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00363,SITE-0186,CUST-018,Dedicated Internet,200,Field - Quebec
SVC-00364,SITE-0187,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00365,SITE-0187,CUST-018,Managed Security,,Security Ops
SVC-00366,SITE-0188,CUST-018,SD-WAN,1000,Field - Quebec
SVC-00367,SITE-0188,CUST-018,MPLS WAN,1000,Field - Quebec
SVC-00368,SITE-0188,CUST-018,Dedicated Internet,1000,Field - Quebec
SVC-00369,SITE-0189,CUST-018,Managed Cloud,,Cloud Ops
SVC-00370,SITE-0189,CUST-018,Managed Security,,Security Ops
SVC-00371,SITE-0190,CUST-018,Managed Security,,Security Ops
SVC-00372,SITE-0191,CUST-018,MPLS WAN,500,Field - Quebec
